Sale_ID,Date,Customer_ID,Bike_Model,Category,Price,Quantity,Discount,Store_Location,Salesperson_ID,Payment_Method,Channel,Customer_Age,Customer_Gender,Sale_Amount,Commission
1,7/11/2022,9390.0,Cruiser,Off Road,318.32,1.0,no,Philadelphia,589,Apple Pay,Online,70.0,Female,318.32,15.916
2,5/3/2024,3374.0,Hybrid Bike,Hybrid,3093.47,4.0,yes,Chicago,390,Apple Pay,Online,37.0,Male,12373.88,618.694
3,9/1/2022,2689.0,Folding Bike,Road,4247.99,3.0,yes,San Antonio,338,PayPal,Online,59.0,Female,12743.97,637.1985
4,9/28/2022,3797.0,Mountain Bike,Off Road,1722.01,3.0,no ,San Antonio,352,Apple Pay,Online,19.0,Male,5166.03,258.3015
5,1/5/2021,1633.0,BMX,Off Road,3941.44,3.0,yes,Philadelphia,580,PayPal,Online,67.0,Female,11824.32,591.216
6,9/6/2021,9663.0,Mountain Bike,Off Road,1778.12,5.0,yes,Chicago,829,Google Pay,Online,42.0,Male,8890.599999999999,444.53
7,6/8/2020,6049.0,Hybrid Bike,Hybrid,1513.6,4.0,yes,Philadelphia,916,Google Pay,Online,20.0,Male,6054.4,302.71999999999997
8,8/22/2021,5784.0,Road Bike,Road,3825.94,1.0,no,Philadelphia,291,Debit Card,Store,57.0,Male,3825.94,191.29700000000003
9,10/4/2020,9649.0,Road Bike,Road,614.94,3.0,yes,San Antonio,906,Debit Card,Store,62.0,Male,1844.8200000000002,92.24100000000001
10,3/22/2023,3977.0,Electric Bike,Electric,2707.4,5.0,yes,Los Angeles,562,PayPal,Online,65.0,Male,13537.0,676.85
11,8/14/2022,3879.0,Road Bike,Road,3350.94,4.0,yes,Houston,296,Debit Card,Store,41.0,Male,13403.76,670.1880000000001
12,4/11/2022,1762.0,Cruiser,Off Road,2751.96,3.0,yes,New York,832,Google Pay,Online,27.0,Female,8255.880000000001,412.7940000000001
13,4/4/2021,9079.0,Folding Bike,Road,2087.23,1.0,no,Los Angeles,194,Apple Pay,Online,46.0,Female,2087.23,104.3615
14,10/3/2022,9754.0,BMX,Off Road,1801.14,2.0,no,San Antonio,811,Apple Pay,Online,45.0,Male,3602.28,180.11400000000003
15,1/25/2021,8199.0,Cruiser,Off Road,1326.01,5.0,yes,Chicago,889,Credit Card,Online,36.0,Male,6630.05,331.50250000000005
